,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,100,NZ,1580548551,63,-46.1927,168.8643,71.01,11.99
1,Bredasdorp,90,ZA,1580547935,73,-34.5322,20.0403,75.99,5.99
2,Sorland,75,NO,1580548435,80,67.667,12.6934,39.2,24.16
3,Tura,0,IN,1580548155,37,25.5198,90.2201,75.24,6.8
4,Hobart,75,AU,1580548144,93,-42.8794,147.3294,64.99,8.05
5,Qena,0,EG,1580548146,55,26.1615,32.7183,62.6,4.7
6,Punta Arenas,75,CL,1580548483,81,-53.15,-70.9167,50.0,4.7
7,Washington,90,US,1580548545,62,47.5001,-120.5015,55.4,0.67
8,Erzin,33,TR,1580548145,30,36.9559,36.2,53.6,6.93
9,Kodiak,75,US,1580548545,66,57.79,-152.4072,15.8,16.11
10,Wilaya de l'Adrar,0,MR,1580547978,12,20.5022,-10.0711,63.45,15.77
11,Kloulklubed,75,PW,1580548645,66,7.0419,134.2556,84.2,8.05
12,Saldanha,0,ZA,1580548456,57,-33.0117,17.9442,75.2,4.7
13,Mackay,40,AU,1580548144,69,-21.15,149.2,82.4,11.41
14,Tuatapere,100,NZ,1580547975,63,-46.1333,167.6833,71.01,14.0
15,Ushuaia,75,AR,1580548483,81,-54.8,-68.3,51.8,14.99
16,Puerto Ayora,16,EC,1580548478,3,-0.7393,-90.3518,73.99,5.57
17,Rio Grande,2,BR,1580548462,78,-32.035,-52.0986,69.15,1.28
18,Lebu,24,CL,1580548488,99,-37.6167,-73.65,55.2,2.93
19,Guerrero Negro,0,MX,1580548489,35,27.9769,-114.0611,61.86,9.26
20,Castro,35,BR,1580548467,99,-24.7911,-50.0119,61.99,1.21
21,Concordia,0,AR,1580548461,93,-31.393,-58.0209,60.01,4.14
22,Bluff,100,NZ,1580547975,63,-46.6,168.3333,71.01,14.0
23,Rio Gallegos,100,AR,1580548483,66,-51.6226,-69.2181,53.6,13.87
24,Aasiaat,97,GL,1580548461,99,68.7098,-52.8699,-5.21,3.31
25,Bethel,90,US,1580548534,93,41.3712,-73.414,36.0,4.7
26,Gornoye Loo,20,RU,1580547933,64,43.7129,39.6049,46.4,2.24
27,Hithadhoo,100,MV,1580547941,70,-0.6,73.0833,82.6,11.1
28,Hong Kong,20,HK,1580548165,59,22.2855,114.1577,70.0,16.11
29,Busselton,0,AU,1580547969,20,-33.65,115.3333,79.0,17.22
30,Tuktoyaktuk,100,CA,1580548551,99,69.4541,-133.0374,-19.16,5.73
31,Kapaa,90,US,1580548545,88,22.0752,-159.319,73.4,17.22
32,Saskylakh,93,RU,1580547965,96,71.9167,114.0833,-28.37,6.93
33,Ilulissat,92,GL,1580548461,71,69.2167,-51.1,6.8,6.93
34,Ribeira Grande,75,PT,1580548456,93,38.5167,-28.7,60.8,19.46
35,Tianpeng,40,CN,1580548154,76,30.9866,103.9393,55.99,4.47
36,Umm Lajj,0,SA,1580548143,15,25.0213,37.2685,73.35,2.82
37,Baykit,100,RU,1580547943,96,61.67,96.37,-21.75,0.67
38,Brae,100,GB,1580548297,72,60.3964,-1.353,39.2,17.22
39,Eqbaliyeh,40,IR,1580548147,23,35.3022,51.5358,51.8,13.87
40,Kruisfontein,100,ZA,1580548153,61,-34.0033,24.7314,76.48,12.06
41,Hilo,90,US,1580548545,77,19.7297,-155.09,69.8,8.05
42,Khatanga,16,RU,1580547967,96,71.9667,102.5,-33.41,8.63
43,Cidreira,90,BR,1580548467,79,-30.1811,-50.2056,73.63,7.67
44,Albany County,90,US,1580548526,80,42.6001,-73.9662,35.01,3.36
45,East London,75,ZA,1580548153,83,-33.0153,27.9116,78.8,4.7
46,Vaini,75,TO,1580548489,94,-21.2,-175.2,77.0,12.75
47,Berlevag,95,NO,1580547932,84,70.8578,29.0864,18.63,26.66
48,Mahebourg,40,MU,1580548153,70,-20.4081,57.7,84.2,14.99
49,Cape Town,75,ZA,1580548456,53,-33.9258,18.4232,84.0,13.87
50,Katsuura,20,JP,1580548168,37,35.1333,140.3,50.0,13.87
51,Namibe,100,AO,1580548456,86,-15.1961,12.1522,77.14,1.25
52,Atuona,39,PF,1580548489,76,-9.8,-139.0333,81.32,14.94
53,Alofi,75,NU,1580548489,94,-19.0595,-169.9187,78.8,9.17
54,Chokurdakh,100,RU,1580547970,98,70.6333,147.9167,-19.77,5.55
55,Hermanus,99,ZA,1580548456,73,-34.4187,19.2345,84.0,5.99
56,Qaanaaq,100,GL,1580548483,98,77.484,-69.3632,-21.82,1.43
57,Pevek,27,RU,1580547970,100,69.7008,170.3133,-27.67,2.26
58,Sardarshahr,0,IN,1580548156,27,28.4333,74.4833,68.0,3.94
59,Ulan-Ude,96,RU,1580548644,63,51.8261,107.6098,-5.8,2.24
60,Tasiilaq,100,GL,1580548461,53,65.6145,-37.6368,23.0,27.51
61,Husavik,75,IS,1580548290,89,66.0449,-17.3389,32.0,4.7
62,Portland,1,US,1580548540,67,45.5234,-122.6762,57.2,9.17
63,Oneonta,93,US,1580548527,85,42.4529,-75.0638,33.01,1.92
64,Nong Phai,11,TH,1580548162,31,15.9903,101.0618,91.99,7.74
65,Catuday,0,PH,1580547952,71,16.2923,119.8062,76.98,15.14
66,Bideford,20,GB,1580548168,81,51.0179,-4.2046,48.99,11.41
67,Norrtalje,90,SE,1580548173,100,59.758,18.705,43.0,12.75
68,Tiksi,87,RU,1580547965,85,71.6872,128.8694,-22.72,4.23
69,Port Elizabeth,75,ZA,1580548153,73,-33.918,25.5701,77.0,5.82
70,Aklavik,90,CA,1580548545,74,68.2191,-135.0107,-25.6,2.64
71,Torbay,40,CA,1580548551,72,47.6666,-52.7314,19.0,20.8
72,Avarua,6,CK,1580548489,94,-21.2078,-159.775,77.0,4.7
73,Bayan,100,CN,1580548153,92,46.0833,127.4,5.9,8.32
74,Ballina,0,AU,1580547975,74,-28.8667,153.5667,86.0,17.22
75,Hashtrud,64,IR,1580548143,73,37.4779,47.0508,25.93,20.11
76,Pisco,90,PE,1580548489,94,-13.7,-76.2167,71.6,3.36
77,Grand Gaube,40,MU,1580547934,70,-20.0064,57.6608,84.2,14.99
78,Srednekolymsk,100,RU,1580547970,98,67.45,153.6833,-17.21,2.01
79,Faanui,100,PF,1580548489,78,-16.4833,-151.75,81.21,26.35
80,Hambantota,40,LK,1580547937,62,6.1241,81.1185,89.6,13.87
81,Plettenberg Bay,75,ZA,1580548153,78,-34.0527,23.3716,69.71,7.4
82,Walvis Bay,90,NA,1580548456,82,-22.9575,14.5053,64.4,4.7
83,Ancud,90,CL,1580548488,100,-41.8697,-73.8203,60.8,12.75
84,Storm Lake,90,US,1580548513,100,42.6411,-95.2097,32.0,14.99
85,Sur,0,OM,1580548145,41,22.5667,59.5289,73.74,5.91
86,Pasighat,65,IN,1580548156,47,28.0667,95.3333,68.76,4.41
87,Omboue,19,GA,1580547978,60,-1.5746,9.2618,88.23,2.66
88,Vestmannaeyjar,100,IS,1580548461,73,63.4427,-20.2734,30.78,18.77
89,Kaitangata,100,NZ,1580547976,59,-46.2817,169.8464,63.86,2.35
90,Bongandanga,8,CD,1580547907,36,1.5,21.05,94.86,3.56
91,Tabou,17,CI,1580548153,71,4.423,-7.3528,84.65,1.83
92,Mao,75,ES,1580548164,100,39.8885,4.2658,55.4,6.93
93,Jardim de Piranhas,89,BR,1580548456,85,-6.3786,-37.3519,76.32,2.06
94,Imbituba,75,BR,1580548463,88,-28.24,-48.6703,73.4,3.36
95,George Town,20,MY,1580548164,74,5.4112,100.3354,89.6,11.41
96,Fougamou,33,GA,1580547978,67,-1.2154,10.5838,86.09,0.81
97,El Alto,100,PE,1580548482,81,-4.2714,-81.2147,71.38,3.76
98,Leningradskiy,7,RU,1580547970,95,69.3833,178.4167,-26.66,6.8
99,Venice,90,US,1580548495,100,27.0998,-82.4543,66.2,9.17
100,Lavrentiya,100,RU,1580548489,93,65.5833,-171.0,-11.16,8.46
101,Marawi,93,PH,1580547951,86,7.9986,124.2928,80.01,11.01
102,Lewistown,75,US,1580548528,100,40.5992,-77.5714,35.6,1.59
103,Zaragoza,40,ES,1580548418,93,41.6561,-0.8773,51.8,3.36
104,Rikitea,0,PF,1580548489,78,-23.1203,-134.9692,79.27,14.7
105,La Ronge,75,CA,1580548546,85,55.1001,-105.2842,17.6,2.24
106,Esperance,9,AU,1580547969,45,-33.8667,121.9,68.0,17.22
107,Erdenet,0,MN,1580548167,88,49.0333,104.0833,-8.05,3.94
108,Yellowknife,5,CA,1580548551,75,62.456,-114.3525,-14.01,2.24
109,Chenghai,0,CN,1580548153,39,23.4632,116.768,64.4,8.95
110,Dikson,0,RU,1580547942,94,73.5069,80.5464,-13.5,10.42
111,Kota Belud,75,MY,1580547954,66,6.351,116.4305,88.0,8.05
112,Bend,1,US,1580548540,52,44.0582,-121.3153,51.8,10.29
113,Nikolskoye,90,RU,1580547917,92,59.7035,30.7861,23.0,11.18
114,San Marcos,1,US,1580548534,26,33.1434,-117.1661,60.8,6.93
115,Khalabat,0,PK,1580548154,39,34.06,72.8894,62.6,4.7
116,Kaseda,20,JP,1580548166,43,31.4167,130.3167,50.0,12.75
117,Oranjestad,86,AW,1580548472,81,12.524,-70.027,79.9,24.54
118,Krasnosel’kup,99,RU,1580547942,98,65.7,82.4667,-20.47,6.2
119,San Cristobal,35,VE,1580548478,95,7.7669,-72.225,53.13,3.98
120,Port Alfred,100,ZA,1580548153,83,-33.5906,26.891,75.99,1.99
121,College,90,US,1580548545,75,64.8569,-147.8028,-15.0,0.92
122,Lagoa,100,PT,1580548456,84,39.05,-27.9833,60.42,24.4
123,Bengkulu,100,ID,1580548163,78,-3.8004,102.2655,83.01,3.85
124,Vardo,92,NO,1580547932,94,70.3705,31.1107,16.29,29.35
125,Cherskiy,46,RU,1580547970,100,68.75,161.3,-33.79,4.34
126,Ciudad Bolivar,0,VE,1580548478,78,8.1222,-63.5497,75.69,7.7
127,Chumikan,100,RU,1580547967,90,54.7183,135.315,0.77,1.03
128,Jamestown,90,US,1580548526,92,42.097,-79.2353,32.0,3.36
129,Altamira,93,BR,1580548461,98,-3.2033,-52.2064,72.93,2.73
130,Barrow,1,US,1580548545,74,71.2906,-156.7887,-23.8,4.7
131,Upernavik,98,GL,1580548461,96,72.7868,-56.1549,-15.11,9.53
132,Makakilo City,1,US,1580548545,73,21.3469,-158.0858,75.2,3.36
133,Hualmay,96,PE,1580548489,85,-11.0964,-77.6139,69.44,3.13
134,Kahului,90,US,1580548545,100,20.8947,-156.47,75.2,21.16
135,Batemans Bay,0,AU,1580547975,75,-35.7167,150.1833,100.0,4.72
136,Palmer,1,US,1580548519,92,42.1584,-72.3287,34.0,1.05
137,Valer,90,NO,1580548435,100,60.6785,11.8331,37.4,11.41
138,Abu Dhabi,0,AE,1580548142,60,24.4667,54.3667,69.8,5.82
139,Wulan,99,CN,1580548154,66,43.6475,111.9767,14.32,1.45
140,Scottsbluff,1,US,1580548540,59,41.8666,-103.6672,42.01,9.17
141,Khani,90,GE,1580547920,86,41.9563,42.9566,41.0,12.75
142,Vangaindrano,39,MG,1580548153,78,-23.35,47.6,82.33,5.03
143,Ipixuna,40,BR,1580548461,100,-1.7625,-48.8043,75.2,5.82
144,Muli,0,MV,1580547941,74,2.9167,73.5667,81.59,12.84
145,Fortuna,90,US,1580548539,100,40.5982,-124.1573,48.0,6.93
146,Magole,75,TZ,1580548144,83,-6.3667,37.3667,78.8,6.93
147,Bathsheba,75,BB,1580548456,78,13.2167,-59.5167,78.8,14.99
148,Acajutla,0,SV,1580548473,72,13.5928,-89.8275,80.51,7.07
149,Marsh Harbour,79,BS,1580548472,81,26.5412,-77.0636,73.49,9.89
150,Zhigansk,94,RU,1580547967,97,66.7697,123.3711,-22.79,2.59
151,Clifton,90,US,1580548526,86,40.8584,-74.1638,39.2,0.29
152,New Norfolk,75,AU,1580547972,93,-42.7826,147.0587,64.99,8.05
153,Lata,90,PT,1580548307,100,40.1629,-8.3327,60.01,4.7
154,Hami,0,CN,1580548153,74,42.8,93.45,16.56,3.36
155,Deputatskiy,97,RU,1580547965,91,69.3,139.9,-20.6,4.38
156,Kargasok,100,RU,1580547943,94,59.0556,80.8572,4.8,10.11
157,Vila Franca do Campo,75,PT,1580548456,93,37.7167,-25.4333,62.6,16.11
158,Haines Junction,2,CA,1580548546,99,60.7522,-137.5108,-3.32,3.94
159,Banyo,14,CM,1580548153,12,6.75,11.8167,82.15,4.63
160,Richards Bay,78,ZA,1580548153,84,-28.783,32.0377,77.58,21.77
161,Turukhansk,100,RU,1580547942,96,65.8167,87.9833,-20.65,6.24
162,Visnes,75,NO,1580548435,87,59.3556,5.2242,46.4,18.34
163,Manzanillo,0,CU,1580548472,84,20.3433,-77.1167,69.26,4.21
164,San Matias,100,BO,1580548462,91,-16.3667,-58.4,74.43,2.53
165,Chimbote,100,PE,1580548482,85,-9.0853,-78.5783,70.97,4.99
166,Altagracia de Orituco,98,VE,1580548478,95,9.8601,-66.3814,68.63,2.98
167,Broome County,90,US,1580548526,100,42.2506,-75.833,32.0,2.33
168,Horadiz,90,AZ,1580547904,86,39.4488,47.3353,41.0,13.87
169,Saint George,1,US,1580548539,51,37.1041,-113.5841,41.0,5.82
170,Vanimo,100,PG,1580547969,72,-2.6741,141.3028,80.73,6.31
171,Dodola,100,ET,1580548146,89,6.9833,39.1833,54.23,3.4
172,Kapan,100,AM,1580548143,87,39.2075,46.4058,34.48,0.74
173,Mathbaria,0,BD,1580548145,26,22.2876,89.9593,81.25,7.74
174,Mar del Plata,82,AR,1580548461,72,-38.0023,-57.5575,64.99,10.29
175,Kyzyl-Suu,91,KG,1580548161,71,42.3395,78.0047,30.27,4.74
176,Teahupoo,75,PF,1580548489,78,-17.8333,-149.2667,77.0,10.29
177,Ponta do Sol,20,PT,1580547976,63,32.6667,-17.1,66.0,9.17
178,Raudeberg,100,NO,1580548435,86,61.9875,5.1352,39.2,13.87
179,Hofn,0,IS,1580548290,59,64.2539,-15.2082,37.24,14.2
180,Korla,0,CN,1580548154,88,41.7597,86.1469,30.99,1.99
181,Cayenne,18,GF,1580548456,94,4.9333,-52.3333,71.6,6.22
182,Shubarkuduk,100,KZ,1580547920,89,49.1447,56.4872,24.84,14.88
183,San Carlos de Bariloche,40,AR,1580548645,76,-41.1456,-71.3082,55.4,11.41
184,Provideniya,100,RU,1580548489,96,64.3833,-173.3,-14.66,8.52
185,Panaba,13,MX,1580548468,95,21.2833,-88.2667,71.35,1.5
186,Severo-Kurilsk,71,RU,1580547970,79,50.6789,156.125,7.74,4.61
187,Amboasary,40,MG,1580548153,78,-25.0333,46.3833,80.6,11.41
188,Catio,13,GW,1580547978,41,11.2833,-15.25,74.91,3.62
189,Podkletnoye,90,RU,1580547916,99,51.5899,39.4623,33.8,8.95
190,Punta Alta,0,AR,1580548483,51,-38.8759,-62.0736,71.91,11.43
191,Olavarria,69,AR,1580548483,73,-36.8927,-60.3225,64.0,8.72
192,Tailai,0,CN,1580548154,63,46.3833,123.4,11.07,14.74
193,Codrington,81,AU,1580547974,73,-38.2667,141.9667,60.04,14.72
194,Seoul,1,KR,1580548165,52,37.5683,126.9778,44.6,7.14
195,Gambela,1,ET,1580548146,13,8.25,34.5833,102.4,4.9
196,Cap Malheureux,40,MU,1580547934,70,-19.9842,57.6142,84.2,14.99
197,San Patricio,100,MX,1580548489,78,19.2167,-104.7,75.76,6.46
198,Padang,100,ID,1580548161,87,-0.9492,100.3543,77.77,2.08
199,Tezu,78,IN,1580547937,33,27.9167,96.1667,71.2,3.58
200,Lorengau,74,PG,1580547969,77,-2.0226,147.2712,83.71,19.19
201,Alice Springs,90,AU,1580548143,74,-23.7,133.8833,80.6,14.99
202,Joaima,19,BR,1580548463,99,-16.6542,-41.0306,65.93,1.7
203,Oktyabrskiy,100,RU,1580548148,93,54.4815,53.471,23.97,6.11
204,Rocha,0,UY,1580548462,94,-34.4833,-54.3333,56.5,4.38
205,Yuanping,100,CN,1580548155,42,38.7153,112.7575,31.19,5.08
206,Arraial do Cabo,59,BR,1580548468,89,-22.9661,-42.0278,78.82,1.79
207,Rawson,81,AR,1580548483,52,-43.3002,-65.1023,66.27,9.64
208,Estado do Amapá,92,BR,1580548461,99,1.0,-52.0,69.28,2.3
209,Sechura,100,PE,1580548479,84,-5.5569,-80.8222,73.4,7.94
210,La Santisima Trinidad,76,BO,1580548488,96,-14.8333,-64.9,69.75,2.1
211,Kavaratti,100,IN,1580547939,67,10.5669,72.642,80.1,8.14
212,Lucea,20,JM,1580548468,78,18.451,-78.1736,75.2,3.36
213,Tsaratanana,95,MG,1580548153,59,-16.7833,47.65,81.1,12.01
214,Maraa,96,BR,1580548478,98,-1.8333,-65.3667,73.42,2.51
215,El Vendrell,67,ES,1580548418,93,41.2167,1.5333,62.01,2.24
216,Gatesville,1,US,1580548507,80,31.4352,-97.7439,41.0,4.7
217,Oistins,75,BB,1580548456,78,13.0667,-59.5333,78.8,14.99
218,Saint-Philippe,32,RE,1580547934,66,-21.3585,55.7679,86.0,27.51
219,Saint-Augustin,0,CA,1580548551,86,51.226,-58.6502,1.49,8.77
220,Coihaique,90,CL,1580548488,82,-45.5752,-72.0662,59.0,8.05
221,Bucerias,90,MX,1580548489,88,20.75,-105.3333,71.01,6.42
222,Broken Hill,94,AU,1580548144,38,-31.95,141.4333,93.2,18.34
223,Betioky,0,MG,1580548153,25,-23.7167,44.3833,100.26,5.59
224,Podor,0,MR,1580547976,13,16.6527,-14.9587,72.18,12.97
225,Margate,40,GB,1580548170,87,51.3813,1.3862,52.0,14.99
226,Kieta,100,PG,1580547969,80,-6.2167,155.6333,83.68,17.4
227,Goma,75,CD,1580548144,68,-1.6792,29.2228,71.6,9.17
228,Anadyr,20,RU,1580547970,65,64.75,177.4833,-34.01,2.24
229,Tarakan,94,ID,1580548162,68,3.3,117.6333,84.18,12.97
230,Souillac,40,MU,1580547934,70,-20.5167,57.5167,84.2,14.99
231,Valparaiso,90,CL,1580548483,93,-33.0393,-71.6273,60.8,1.07
232,Ostrovnoy,97,RU,1580547917,99,68.0531,39.5131,-9.85,5.73
233,Belaya Gora,100,RU,1580547970,97,68.5333,146.4167,-16.02,6.33
234,Chhatapur,0,IN,1580548159,30,26.2167,87.0167,73.31,6.64
235,Lano,7,NG,1580548169,16,10.1725,11.4715,75.13,6.26
236,Cotonou,75,BJ,1580548146,94,6.3654,2.4183,78.8,4.7
237,El Reno,0,US,1580548505,44,35.5323,-97.955,36.0,6.93
238,Klaksvik,23,FO,1580548290,69,62.2266,-6.589,35.6,17.22
239,Dan Khun Thot,0,TH,1580548162,34,15.2085,101.7714,93.2,6.93
240,Dunedin,100,NZ,1580548168,87,-45.8742,170.5036,62.01,5.01
241,Roald,75,NO,1580548435,93,62.5833,6.1333,35.6,5.82
242,Humberto de Campos,91,BR,1580548457,96,-2.5983,-43.4611,73.2,2.48
243,Bourail,43,NC,1580547970,72,-21.5667,165.4833,77.31,4.27
244,Tarrafal,0,CV,1580548456,33,15.2833,-23.7667,77.0,17.22
245,Great Yarmouth,20,GB,1580548169,81,52.6083,1.7305,51.01,20.8
246,Asau,90,RO,1580547925,81,46.4333,26.4,51.01,2.24
247,Pangody,1,RU,1580547942,96,65.85,74.4859,-17.28,11.65
248,Biak,100,ID,1580548162,63,-0.9131,122.8766,86.58,13.35
249,Mocuba,100,MZ,1580547935,72,-16.8392,36.9856,85.33,3.15
250,Pangai,100,TO,1580548489,82,-19.8,-174.35,80.78,17.94
251,Geraldton,86,AU,1580548144,50,-28.7667,114.6,77.0,31.09
252,Auki,100,SB,1580547969,80,-8.7676,160.7034,80.42,4.29
253,Angouleme,90,FR,1580548407,93,45.65,0.15,55.4,12.75
254,Megion,100,RU,1580548161,77,61.0296,76.1136,1.4,11.18
255,Tynda,100,RU,1580548167,97,55.1667,124.7167,-0.87,6.98
256,Sangar,72,RU,1580547967,99,63.9242,127.4739,-22.58,2.98
257,Ishinomaki,40,JP,1580548168,56,38.4167,141.3,42.8,12.75
258,Airai,100,TL,1580547945,92,-8.9266,125.4092,72.46,1.48
259,Cabo San Lucas,100,MX,1580548489,50,22.8909,-109.9124,66.99,5.01
260,Impfondo,96,CG,1580548152,40,1.6381,18.0667,91.53,4.07
261,Ures,0,MX,1580548489,33,29.4333,-110.4,55.0,3.0
262,Victoria Point,20,AU,1580547970,69,-27.5833,153.3,82.4,16.11
263,Petropavlovsk-Kamchatskiy,0,RU,1580548168,46,53.0452,158.6483,8.6,4.47
264,Buala,100,SB,1580547969,82,-8.145,159.5921,80.83,6.15
265,Maniitsoq,53,GL,1580548461,77,65.4167,-52.9,11.84,1.48
266,Naustdal,90,NO,1580548435,100,61.509,5.7168,39.2,3.02
267,Lagos de Moreno,90,MX,1580548489,34,21.35,-101.9167,51.8,16.11
268,Grasten,100,DK,1580548290,93,54.9192,9.5952,50.0,24.16
269,Norman Wells,20,CA,1580548551,74,65.282,-126.8329,-25.6,5.82
270,Christchurch,100,NZ,1580548168,82,-43.5333,172.6333,72.0,8.05
271,Kavieng,93,PG,1580547969,77,-2.5744,150.7967,84.0,19.22
